"sex","aage","AJBHRS","ancars","avote","aregion","ajbstat","ajbterm","ahhsize","atenure","afihhyr"
2,65,40,"1","1","3","2","1","2","2",12159.2578125
1,29,45,"1","3","12","2","1","2","2",26950.103515625
1,28,39,"1","1","16","2","1","2","2",21803.814453125
1,45,36,"0","2","12","2","1","4","2",24999.908203125
2,56,20,"1","2","3","2","3","2","2",24743.140625
1,43,39,"0","1","15","2","1","5","6",14994.6025390625
1,28,39,"1","2","18","2","1","2","2",22435.240234375
1,41,35,"1","3","3","2","1","3","2",20074.107421875
2,34,17,"1","2","18","2","1","2","2",22722.3046875
1,50,37,"2","2","3","2","1","5","2",43552.640625
1,39,37,"2","1","3","2","1","4","2",19940.5546875
2,25,50,"2","3","7","2","3","2","5",36654.359375
2,18,32,"0","3","3","2","1","5","3",23024.095703125
